place_id,place_names,latitude,longitude,address,city,city_CN,redirection_url,navigation_url
ChIJl9oOgbo5aTQRqE58klwetdU,永利茶檔(彰化店),24.0785,120.542,彰化縣彰化市成功路139號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/csed/yong-li-cha-dang-zhang-hua-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%B0%B8%E5%88%A9%E8%8C%B6%E6%AA%94%28%E5%BD%B0%E5%8C%96%E5%BA%97%29&travelmode=driving
ChIJJQOZa5o4aTQRdgeWQc8OXW0,茶湯會(彰化中正店),24.0808,120.538,彰化縣彰化市中正路２段32號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/wosh/cha-tang-hui-zhang-hua-zhong-zheng-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E8%8C%B6%E6%B9%AF%E6%9C%83%28%E5%BD%B0%E5%8C%96%E4%B8%AD%E6%AD%A3%E5%BA%97%29&travelmode=driving
ChIJ94w-jJA4aTQR0Tv1h0GHTxg,天仁茗茶(彰化店),24.0796,120.54,彰化縣彰化市和平路36號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/a5mf/tian-ren-ming-cha-zhang-hua-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%A4%A9%E4%BB%81%E8%8C%97%E8%8C%B6%28%E5%BD%B0%E5%8C%96%E5%BA%97%29&travelmode=driving
ChIJ0Y8mCQs5aTQR5eahx-RlQAU,NUNUTEA 羊駝飲料店,24.0809,120.54,彰化縣彰化市光復路161號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/gjjx/nunutea-yang-tuo-yin-liao-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=NUNUTEA+%E7%BE%8A%E9%A7%9D%E9%A3%B2%E6%96%99%E5%BA%97&travelmode=driving
ChIJ-S1hdzk5aTQRhwsWLxF7kKw,楊桃伯(彰化東民店),24.0769,120.546,彰化縣彰化市東民街89之1號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/excs/yang-tao-bo-zhang-hua-dong-min-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%A5%8A%E6%A1%83%E4%BC%AF%28%E5%BD%B0%E5%8C%96%E6%9D%B1%E6%B0%91%E5%BA%97%29&travelmode=driving
ChIJ0xr3d404aTQRhFVMThlQ5Uw,榆蓉會館,24.074,120.548,彰化縣彰化市南郭路一段181號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/z7ox/yu-rong-hui-guan,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%A6%86%E8%93%89%E6%9C%83%E9%A4%A8&travelmode=driving
ChIJ2Y7fyPY5aTQREOVAeD-A75M,白水泉軒堂(彰化中正店),24.0822,120.541,彰化市中正路一段504號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/l2pz/bai-shui-quan-xuan-tang-zhang-hua-zhong-zheng-dian-l2pz,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E7%99%BD%E6%B0%B4%E6%B3%89%E8%BB%92%E5%A0%82%28%E5%BD%B0%E5%8C%96%E4%B8%AD%E6%AD%A3%E5%BA%97%29&travelmode=driving
ChIJAXa3YXY5aTQRT1n3ZXFThGY,台茶1号(彰化中正店),24.0823,120.542,彰化縣彰化市中正路一段479號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/yjaz/tai-cha-1hao-zhang-hua-zhong-zheng-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%8F%B0%E8%8C%B61%E5%8F%B7%28%E5%BD%B0%E5%8C%96%E4%B8%AD%E6%AD%A3%E5%BA%97%29&travelmode=driving
ChIJO4xAqNxLaTQRUf0Zr6osKZc,回憶小時候古早味紅茶(田尾公園店),23.9058,120.524,彰化縣田尾鄉公園路一段418號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/zz5z/hui-yi-xiao-shi-hou-gu-zao-wei-hong-cha-tian-wei-gong-yuan-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%9B%9E%E6%86%B6%E5%B0%8F%E6%99%82%E5%80%99%E5%8F%A4%E6%97%A9%E5%91%B3%E7%B4%85%E8%8C%B6%28%E7%94%B0%E5%B0%BE%E5%85%AC%E5%9C%92%E5%BA%97%29&travelmode=driving
ChIJ3Sqk1501aTQRcZhnrV6dl6w,清心福全(田尾中山店),23.9039,120.538,彰化縣田尾鄉中山路二段509號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/ddrm/qing-xin-fu-quan-tian-wei-zhong-shan-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%B8%85%E5%BF%83%E7%A6%8F%E5%85%A8%28%E7%94%B0%E5%B0%BE%E4%B8%AD%E5%B1%B1%E5%BA%97%29&travelmode=driving
ChIJATeJ3O01aTQRcmJjvdTTrLo,李記紅茶冰(彰化永靖店),23.9207,120.541,彰化縣永靖鄉永北村永福路一段32號1樓,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/n3dn/li-ji-hong-cha-bing-zhang-hua-yong-jing-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%9D%8E%E8%A8%98%E7%B4%85%E8%8C%B6%E5%86%B0%28%E5%BD%B0%E5%8C%96%E6%B0%B8%E9%9D%96%E5%BA%97%29&travelmode=driving
ChIJDZy7_eSvQjQRJW7mby_7KWY,紅茶帝國,23.9026,120.538,彰化縣田尾鄉溪畔村中山路二段450-1號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/l3z9/hong-cha-di-guo-l3z9,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E7%B4%85%E8%8C%B6%E5%B8%9D%E5%9C%8B&travelmode=driving
ChIJC-mvrsY1aTQRKbRhI2uFye8,TEATOP 第一味(永靖瑚璉店),23.9236,120.545,彰化縣永靖鄉瑚璉路369號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/t6xa/teatop-di-wei-yong-jing-hu-lian-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=TEATOP+%E7%AC%AC%E4%B8%80%E5%91%B3%28%E6%B0%B8%E9%9D%96%E7%91%9A%E7%92%89%E5%BA%97%29&travelmode=driving
ChIJmbzvzOg1aTQRO7FwdqYR9hQ,50嵐(彰化永靖店),23.9238,120.545,彰化縣永靖鄉瑚璉路364號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/l1vb/50lan-zhang-hua-yong-jing-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=50%E5%B5%90%28%E5%BD%B0%E5%8C%96%E6%B0%B8%E9%9D%96%E5%BA%97%29&travelmode=driving
ChIJ6SiDDro1aTQR_ED7QI7Y1RA,迷客夏 Milksha(彰化永靖店),23.9237,120.545,彰化縣永靖鄉瑚璉路359號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/s4pp/mi-ke-xia-milksha-zhang-hua-yong-jing-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E8%BF%B7%E5%AE%A2%E5%A4%8F+Milksha%28%E5%BD%B0%E5%8C%96%E6%B0%B8%E9%9D%96%E5%BA%97%29&travelmode=driving
ChIJ28bpeAA1aTQRc-s9WjIu6jw,國王的茶(永靖東門店),23.9214,120.547,彰化縣永靖鄉東門路241號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/d53i/guo-wang-de-cha-yong-jing-dong-men-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%9C%8B%E7%8E%8B%E7%9A%84%E8%8C%B6%28%E6%B0%B8%E9%9D%96%E6%9D%B1%E9%96%80%E5%BA%97%29&travelmode=driving
ChIJ92GhIIg1aTQR2RwWuMVQbTE,白巷子(彰化永靖店),23.9238,120.546,彰化縣永靖鄉瑚璉路327號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/xaa1/bai-xiang-zi-zhang-hua-yong-jing-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E7%99%BD%E5%B7%B7%E5%AD%90%28%E5%BD%B0%E5%8C%96%E6%B0%B8%E9%9D%96%E5%BA%97%29&travelmode=driving
ChIJccg6MwA1aTQR6tAMBOFzexA,得正 OOLONG TEA PROJECT(彰化永靖計劃),23.9239,120.547,彰化縣永靖鄉瑚璉路311號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/tpx5/de-zheng-oolong-tea-project-zhang-hua-yong-jing-ji-hua,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%BE%97%E6%AD%A3+OOLONG+TEA+PROJECT%28%E5%BD%B0%E5%8C%96%E6%B0%B8%E9%9D%96%E8%A8%88%E5%8A%83%29&travelmode=driving
ChIJ1TucXLY1aTQR3lurxOPe3Pg,可不可熟成紅茶(永靖瑚璉店),23.924,120.547,彰化縣永靖鄉瑚璉路305號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/ous8/ke-bu-ke-shou-cheng-hong-cha-yong-jing-hu-lian-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%8F%AF%E4%B8%8D%E5%8F%AF%E7%86%9F%E6%88%90%E7%B4%85%E8%8C%B6%28%E6%B0%B8%E9%9D%96%E7%91%9A%E7%92%89%E5%BA%97%29&travelmode=driving
ChIJ16UElOg1aTQRVIAA7o_M-Vg,大苑子(永靖店),23.9241,120.547,彰化縣永靖鄉瑚璉路310號,Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/q6ps/da-yuan-zi-yong-jing-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%A4%A7%E8%8B%91%E5%AD%90%28%E6%B0%B8%E9%9D%96%E5%BA%97%29&travelmode=driving
ChIJT3HUpOc1aTQRg7jfy6yElMw,三の道經典茶飲,23.9252,120.549,"彰化縣 永靖鄉 瑚璉路 208, Taiwan",Changhua County,彰化縣,https://foodpanda.com.tw/restaurant/qoki/san-nodao-jing-dian-cha-yin,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E4%B8%89%E3%81%AE%E9%81%93%E7%B6%93%E5%85%B8%E8%8C%B6%E9%A3%B2&travelmode=driving
ChIJHWX54_gxaTQRhFxKluohCYI,爺們綠豆沙(東閔店),23.9503,120.68,南投縣南投市東閔路1121號,Nantou County,彰化縣,https://foodpanda.com.tw/restaurant/zxep/ye-men-lu-dou-sha-dong-min-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E7%88%BA%E5%80%91%E7%B6%A0%E8%B1%86%E6%B2%99%28%E6%9D%B1%E9%96%94%E5%BA%97%29&travelmode=driving
